Instance;Alpha_Depart;Mode;Runs;Taille_Clique;Temps_ms
hamming/hamming8-2.clq;0.05;Adaptatif;10;128;4280.58
hamming/hamming8-2.clq;0.1;Fixe;1;121;184.777
hamming/hamming8-2.clq;0.1;Adaptatif;1;109;375.763
hamming/hamming8-2.clq;0.1;Fixe;10;121;1827.94
hamming/hamming8-2.clq;0.1;Adaptatif;10;128;4297.18
hamming/hamming8-4.clq;0.01;Fixe;1;16;180.039
hamming/hamming8-4.clq;0.01;Adaptatif;1;16;457.695
hamming/hamming8-4.clq;0.01;Fixe;10;16;1821.23
hamming/hamming8-4.clq;0.01;Adaptatif;10;16;4674.36
hamming/hamming8-4.clq;0.05;Fixe;1;16;183.5
hamming/hamming8-4.clq;0.05;Adaptatif;1;16;407.821
hamming/hamming8-4.clq;0.05;Fixe;10;16;1830.72
hamming/hamming8-4.clq;0.05;Adaptatif;10;16;4076.74
hamming/hamming8-4.clq;0.1;Fixe;1;16;181.919
hamming/hamming8-4.clq;0.1;Adaptatif;1;16;410.565
hamming/hamming8-4.clq;0.1;Fixe;10;16;1825.99
hamming/hamming8-4.clq;0.1;Adaptatif;10;16;4075.2
hamming/hamming10-2.clq;0.01;Fixe;1;398;2687.33
hamming/hamming10-2.clq;0.01;Adaptatif;1;476;9216.73
hamming/hamming10-2.clq;0.01;Fixe;10;512;27270.3
hamming/hamming10-2.clq;0.01;Adaptatif;10;512;83915.7
hamming/hamming10-2.clq;0.05;Fixe;1;398;2672.51
hamming/hamming10-2.clq;0.05;Adaptatif;1;476;8615.3
hamming/hamming10-2.clq;0.05;Fixe;10;512;27689.8
hamming/hamming10-2.clq;0.05;Adaptatif;10;512;75849.7
hamming/hamming10-2.clq;0.1;Fixe;1;398;2749.74
hamming/hamming10-2.clq;0.1;Adaptatif;1;476;7262.23
hamming/hamming10-2.clq;0.1;Fixe;10;512;27510.6
hamming/hamming10-2.clq;0.1;Adaptatif;10;512;79731.4
hamming/hamming10-4.clq;0.01;Fixe;1;31;2795.03
hamming/hamming10-4.clq;0.01;Adaptatif;1;31;7785.43
hamming/hamming10-4.clq;0.01;Fixe;10;32;28079.9
hamming/hamming10-4.clq;0.01;Adaptatif;10;35;80036.6
hamming/hamming10-4.clq;0.05;Fixe;1;31;2790.36
hamming/hamming10-4.clq;0.05;Adaptatif;1;33;8744.55
hamming/hamming10-4.clq;0.05;Fixe;10;32;28002.8
hamming/hamming10-4.clq;0.05;Adaptatif;10;33;77013.4
hamming/hamming10-4.clq;0.1;Fixe;1;31;2790.27
hamming/hamming10-4.clq;0.1;Adaptatif;1;33;8758.67
hamming/hamming10-4.clq;0.1;Fixe;10;32;27760.3
hamming/hamming10-4.clq;0.1;Adaptatif;10;33;78910.6
johnson/johnson8-2-4.clq;0.01;Fixe;1;4;2.66633
johnson/johnson8-2-4.clq;0.01;Adaptatif;1;4;6.64452
johnson/johnson8-2-4.clq;0.01;Fixe;10;4;27.2927
johnson/johnson8-2-4.clq;0.01;Adaptatif;10;4;64.2468
johnson/johnson8-2-4.clq;0.05;Fixe;1;4;2.63276
johnson/johnson8-2-4.clq;0.05;Adaptatif;1;4;5.41976
johnson/johnson8-2-4.clq;0.05;Fixe;10;4;25.6959
johnson/johnson8-2-4.clq;0.05;Adaptatif;10;4;53.9572
johnson/johnson8-2-4.clq;0.1;Fixe;1;4;2.64225
johnson/johnson8-2-4.clq;0.1;Adaptatif;1;4;6.01922
johnson/johnson8-2-4.clq;0.1;Fixe;10;4;25.8003
johnson/johnson8-2-4.clq;0.1;Adaptatif;10;4;54.0423
johnson/johnson8-4-4.clq;0.01;Fixe;1;14;15.4604
